Problem:    final2
Rows:       2943
Columns:    2531 (10 integer, 10 binary)
Non-zeros:  17284
Status:     INTEGER OPTIMAL
Objective:  z = 335282.9337 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 z                      335283                             
     2 Proporcion_Min[1,1,1,1]
                               48.25            -0               
     3 Proporcion_Min[1,1,1,2]
                             23.0327            -0               
     4 Proporcion_Min[1,1,1,3]
                               40.25            -0               
     5 Proporcion_Min[1,1,1,4]
                                50.5            -0               
     6 Proporcion_Min[1,1,1,5]
                                  35            -0               
     7 Proporcion_Min[1,1,1,6]
                               38.75            -0               
     8 Proporcion_Min[1,1,2,1]
                                9.25            -0               
     9 Proporcion_Min[1,1,2,2]
                             9.46735            -0               
    10 Proporcion_Min[1,1,2,3]
                                   0            -0               
    11 Proporcion_Min[1,1,2,4]
                                   0            -0               
    12 Proporcion_Min[1,1,2,5]
                                   0            -0               
    13 Proporcion_Min[1,1,2,6]
                                   0            -0               
    14 Proporcion_Min[1,1,3,1]
                                   0            -0               
    15 Proporcion_Min[1,1,3,2]
                                   0            -0               
    16 Proporcion_Min[1,1,3,3]
                                   0            -0               
    17 Proporcion_Min[1,1,3,4]
                                   0            -0               
    18 Proporcion_Min[1,1,3,5]
                                   0            -0               
    19 Proporcion_Min[1,1,3,6]
                                   0            -0               
    20 Proporcion_Min[1,1,4,1]
                                   0            -0               
    21 Proporcion_Min[1,1,4,2]
                                   0            -0               
    22 Proporcion_Min[1,1,4,3]
                                   0            -0               
    23 Proporcion_Min[1,1,4,4]
                                   0            -0               
    24 Proporcion_Min[1,1,4,5]
                                   0            -0               
    25 Proporcion_Min[1,1,4,6]
                                   0            -0               
    26 Proporcion_Min[1,2,1,1]
                                   0            -0               
    27 Proporcion_Min[1,2,1,2]
                                   0            -0               
    28 Proporcion_Min[1,2,1,3]
                                   0            -0               
    29 Proporcion_Min[1,2,1,4]
                                   0            -0               
    30 Proporcion_Min[1,2,1,5]
                                   0            -0               
    31 Proporcion_Min[1,2,1,6]
                                   0            -0               
    32 Proporcion_Min[1,2,2,1]
                                   0            -0               
    33 Proporcion_Min[1,2,2,2]
                                   0            -0               
    34 Proporcion_Min[1,2,2,3]
                              50.242            -0               
    35 Proporcion_Min[1,2,2,4]
                             10.7175            -0               
    36 Proporcion_Min[1,2,2,5]
                                   0            -0               
    37 Proporcion_Min[1,2,2,6]
                                   0            -0               
    38 Proporcion_Min[1,2,3,1]
                               66.15            -0               
    39 Proporcion_Min[1,2,3,2]
                              65.858            -0               
    40 Proporcion_Min[1,2,3,3]
                                   0            -0               
    41 Proporcion_Min[1,2,3,4]
                                 0.9            -0               
    42 Proporcion_Min[1,2,3,5]
                                   0            -0               
    43 Proporcion_Min[1,2,3,6]
                                   0            -0               
    44 Proporcion_Min[1,2,4,1]
                                17.1            -0               
    45 Proporcion_Min[1,2,4,2]
                                  36            -0               
    46 Proporcion_Min[1,2,4,3]
                                34.2            -0               
    47 Proporcion_Min[1,2,4,4]
                                  63            -0               
    48 Proporcion_Min[1,2,4,5]
                             66.6825            -0               
    49 Proporcion_Min[1,2,4,6]
                               85.05            -0               
    50 Proporcion_Min[1,3,1,1]
                                   0            -0               
    51 Proporcion_Min[1,3,1,2]
                                   0            -0               
    52 Proporcion_Min[1,3,1,3]
                                   0            -0               
    53 Proporcion_Min[1,3,1,4]
                                   0            -0               
    54 Proporcion_Min[1,3,1,5]
                                   0            -0               
    55 Proporcion_Min[1,3,1,6]
                                   0            -0               
    56 Proporcion_Min[1,3,2,1]
                                   0            -0               
    57 Proporcion_Min[1,3,2,2]
                                   0            -0               
    58 Proporcion_Min[1,3,2,3]
                                   0            -0               
    59 Proporcion_Min[1,3,2,4]
                                   0            -0               
    60 Proporcion_Min[1,3,2,5]
                                   0            -0               
    61 Proporcion_Min[1,3,2,6]
                                   0            -0               
    62 Proporcion_Min[1,3,3,1]
                                   0            -0               
    63 Proporcion_Min[1,3,3,2]
                                   0            -0               
    64 Proporcion_Min[1,3,3,3]
                                   0            -0               
    65 Proporcion_Min[1,3,3,4]
                                   0            -0               
    66 Proporcion_Min[1,3,3,5]
                                   0            -0               
    67 Proporcion_Min[1,3,3,6]
                                   0            -0               
    68 Proporcion_Min[1,3,4,1]
                                   0            -0               
    69 Proporcion_Min[1,3,4,2]
                                   0            -0               
    70 Proporcion_Min[1,3,4,3]
                                   0            -0               
    71 Proporcion_Min[1,3,4,4]
                                   0            -0               
    72 Proporcion_Min[1,3,4,5]
                                   0            -0               
    73 Proporcion_Min[1,3,4,6]
                                   0            -0               
    74 Proporcion_Min[1,4,1,1]
                                   0            -0               
    75 Proporcion_Min[1,4,1,2]
                                   0            -0               
    76 Proporcion_Min[1,4,1,3]
                                   0            -0               
    77 Proporcion_Min[1,4,1,4]
                                   0            -0               
    78 Proporcion_Min[1,4,1,5]
                                   0            -0               
    79 Proporcion_Min[1,4,1,6]
                                   0            -0               
    80 Proporcion_Min[1,4,2,1]
                                8.05            -0               
    81 Proporcion_Min[1,4,2,2]
                                 6.9            -0               
    82 Proporcion_Min[1,4,2,3]
                                7.25            -0               
    83 Proporcion_Min[1,4,2,4]
                             7.55917            -0               
    84 Proporcion_Min[1,4,2,5]
                             5.44083            -0               
    85 Proporcion_Min[1,4,2,6]
                                 6.5            -0               
    86 Proporcion_Min[1,4,3,1]
                                   0            -0               
    87 Proporcion_Min[1,4,3,2]
                                   0            -0               
    88 Proporcion_Min[1,4,3,3]
                                   0            -0               
    89 Proporcion_Min[1,4,3,4]
                                   0            -0               
    90 Proporcion_Min[1,4,3,5]
                                   0            -0               
    91 Proporcion_Min[1,4,3,6]
                                   0            -0               
    92 Proporcion_Min[1,4,4,1]
                                 1.6            -0               
    93 Proporcion_Min[1,4,4,2]
                                3.25            -0               
    94 Proporcion_Min[1,4,4,3]
                                0.35            -0               
    95 Proporcion_Min[1,4,4,4]
                                 2.1            -0               
    96 Proporcion_Min[1,4,4,5]
                                3.15            -0               
    97 Proporcion_Min[1,4,4,6]
                                0.75            -0               
    98 Proporcion_Min[2,1,1,1]
                                19.3            -0               
    99 Proporcion_Min[2,1,1,2]
                             9.21306            -0               
   100 Proporcion_Min[2,1,1,3]
                                16.1            -0               
   101 Proporcion_Min[2,1,1,4]
